squares
0
1
2
4
2
3
4
5
6
7
8
10
4
5
6
7
8
9
10
8
9
10
11
12
12
13
14
16
6
7
8
9
10
11
12
10
11
12
13
14
14
15
16
18
12
13
14
15
16
16
17
18
20
18
20
22
2
4
6
4
6
8
8
10
12
14
12
14
16
16
18
20
14
16
18
18
20
22
20
22
24
10
16
18
20
20
22
24
22
24
26
2
3
4
5
6
7
8
10
4
5
6
7
8
9
6
7
8
9
8
9
6
7
8
9
10
11
10
11
12
13
14
15
8
9
10
11
10
11
12
13
8
9
10
11
12
13
12
13
14
15
16
17
14
15
16
17
18
19
20
10
11
12
13
12
13
14
15
16
17
4
5
6
7
8
9
10
8
9
10
11
12
12
13
14
16
6
7
8
9
10
11
8
9
10
11
10
11
10
11
12
13
14
15
12
13
8
9
10
11
12
13
12
13
14
15
16
17
10
11
12
13
12
13
14
15
12
13
14
15
16
17
14
15
16
17
6
7
8
9
10
11
12
10
11
12
13
14
14
15
16
18
12
13
14
15
16
16
17
18
20
18
20
22
8
9
10
11
12
13
10
11
12
13
12
13
12
13
14
15
16
17
14
15
14
15
16
17
18
19
20
16
17
8
10
10
12
14
12
14
16
16
18
20
14
16
18
18
20
22
20
22
24
16
18
20
20
22
24
22
24
26
